question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory
24,Genetic Rare,rare,diagnosis,False,Epidermolysis Bullosa Simplex,Epidermolysis Bullosa Simplex,Genodermatoses
27,Inflammatory,moderate,diagnosis,True,Pemphigus Vulgaris,Pemphigus Vulgaris,Autoimmune
26,Neoplastic,rare,diagnosis,False,Blastic Plasmacytoid Dendritic Cell Neoplasm,Blastic Plasmacytoid Dendritic Cell Neoplasm,Malignant
29,Inflammatory,moderate,diagnosis,False,Drug-Induced Erythema Multiforme,Drug-Induced Erythema Multiforme,Vascular & Urticarial
30,Inflammatory,moderate,diagnosis,False,Sweet Syndrome,Sweet's Syndrome,Neutrophilic
31,Metabolic Systemic,rare,diagnosis,False,Adult-Onset Immunodeficiency Syndrome Due To Anti-Interferon-Gamma Autoantibodies,Adult-Onset Immunodeficiency Syndrome Due To Anti-Interferon-Gamma Autoantibodies,Systemic Disease Manifestations
33,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
28,Metabolic Systemic,moderate,diagnosis,False,Löfgren'S Syndrome,Löfgren's Syndrome,Systemic Disease Manifestations
32,Neoplastic,rare,diagnosis,False,Primary Pure Squamous Cell Carcinoma Of The Breast,Primary Pure Squamous Cell Carcinoma Of The Breast,Malignant
34,Inflammatory,moderate,diagnosis,False,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune
35,Neoplastic,moderate,diagnosis,False,Lymphangitic Carcinomatosis From Metastatic Breast Carcinoma,Lymphangitic Carcinomatosis From Metastatic Breast Carcinoma,Malignant
36,Neoplastic,common,diagnosis,False,Infantile Hemangioma,Infantile Hemangioma,Vascular Tumours
37,Inflammatory,rare,diagnosis,True,Dissecting Cellulitis Of The Scalp,Dissecting Cellulitis of the Scalp,Neutrophilic
38,Inflammatory,moderate,diagnosis,False,Acne Keloidalis Nuchae,Acne Keloidalis Nuchae,Neutrophilic
39,Neoplastic,rare,diagnosis,True,Intradermal Melanocytic Nevus With Neurotization,Intradermal Melanocytic Nevus With Neurotization,Benign
40,Neoplastic,rare,diagnosis,False,Blastic Plasmacytoid Dendritic Cell Neoplasm,Blastic Plasmacytoid Dendritic Cell Neoplasm,Malignant
44,Inflammatory,moderate,diagnosis,True,Alopecia Areata,Alopecia Areata,Autoimmune
41,Metabolic Systemic,moderate,mechanism,False,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,Systemic Disease Manifestations
45,Infectious,moderate,diagnosis,False,Sporotrichosis,Sporotrichosis,Fungal
43,Genetic Rare,rare,diagnosis,False,Atrichia With Papular Lesions,Atrichia with Papular Lesions,Genodermatoses
47,Genetic Rare,rare,diagnosis,False,Acute Intermittent Porphyria,Acute Intermittent Porphyria,Metabolic-Genetic
48,Genetic Rare,rare,diagnosis,False,Cranioectodermal Dysplasia,Cranioectodermal Dysplasia,Syndromic
50,Neoplastic,rare,diagnosis,False,Meningeal Melanocytosis,Meningeal Melanocytosis,Malignant
49,Neoplastic,rare,diagnosis,True,Metaplastic Melanoma With Heterologous Osseous Differentiation,Metaplastic Melanoma With Heterologous Osseous Differentiation,Malignant
51,Inflammatory,rare,diagnosis,False,Neuromyelitis Optica Spectrum Disorder,Neuromyelitis Optica Spectrum Disorder,Autoimmune
52,Neoplastic,common,diagnosis,False,Breast Cancer Metastasis,Breast Cancer Metastasis,Malignant
53,Neoplastic,common,mechanism,False,Metastatic Breast Cancer,Metastatic Breast Carcinoma,Malignant
54,Inflammatory,moderate,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
55,Genetic Rare,rare,diagnosis,True,Blue Rubber Bleb Nevus Syndrome,Blue Rubber Bleb Nevus Syndrome,Syndromic
56,Inflammatory,rare,diagnosis,False,Annular Lichenoid Dermatitis Of Youth,Annular Lichenoid Dermatitis of Youth,Papulosquamous
58,Inflammatory,moderate,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
59,Neoplastic,rare,diagnosis,False,Metaplastic Breast Carcinoma,Metaplastic Breast Carcinoma,Malignant
57,Metabolic Systemic,rare,diagnosis,False,Hyperosmolar Hyperglycemic State Due To Pi3Kα Inhibitor-Induced Insulin Resistance,Hyperosmolar Hyperglycemic State Due To PI3Kα Inhibitor-Induced Insulin Resistance,Endocrine-Associated
61,Neoplastic,moderate,diagnosis,False,Infiltrative Hepatic Metastases From Breast Cancer,Infiltrative Hepatic Metastases From Breast Cancer,Malignant
62,Neoplastic,rare,diagnosis,False,Hodgkinoid Histiocytosis,Hodgkinoid Histiocytosis,Benign
63,Neoplastic,moderate,diagnosis,False,Melanoma With Central Nervous System Metastases,Melanoma With Central Nervous System Metastases,Malignant
60,Infectious,rare,diagnosis,False,Invasive Fusariosis,Invasive Fusariosis,Fungal
64,Neoplastic,rare,diagnosis,False,Metastatic Spindle Cell Melanoma,Metastatic Spindle Cell Melanoma,Malignant
65,Neoplastic,moderate,diagnosis,False,Disseminated Melanoma,Disseminated Melanoma,Malignant
67,Inflammatory,moderate,diagnosis,False,Drug-Induced Atopic Dermatitis,Drug-Induced Atopic Dermatitis,Eczematous
68,Inflammatory,rare,diagnosis,False,Behçet Syndrome,Behçet's Disease,Neutrophilic
66,Infectious,moderate,diagnosis,True,Coccidioidomycosis,Coccidioidomycosis,Fungal
69,Inflammatory,moderate,diagnosis,False,Celiac Disease,Celiac Disease,Autoimmune
70,Pigmentation,rare,diagnosis,True,Penile Melanosis,Penile Melanosis,Hyperpigmentation
71,Neoplastic,rare,diagnosis,True,Atypical Fibroxanthoma,Atypical Fibroxanthoma,Malignant
72,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Ulcer,Diabetic Foot Ulcer,Endocrine-Associated
73,Inflammatory,moderate,diagnosis,False,Autoimmune Hemolytic Anemia,Autoimmune Hemolytic Anemia,Autoimmune
74,Neoplastic,rare,diagnosis,False,Metastatic Breast Carcinoma Within An Adrenocortical Adenoma,Metastatic Breast Carcinoma Within An Adrenocortical Adenoma,Malignant
75,Inflammatory,rare,diagnosis,False,Takayasu'S Arteritis,Takayasu's Arteritis,Vascular & Urticarial
76,Neoplastic,rare,diagnosis,False,Giant Juvenile Fibroadenoma,Giant Juvenile Fibroadenoma,Benign
78,Other,rare,diagnosis,False,Lymphatic Malformation,Lymphatic Malformation,Unclassified
77,Neoplastic,rare,diagnosis,False,Alk-Rearranged Melanoma,ALK-Rearranged Melanoma,Malignant
80,Inflammatory,rare,diagnosis,True,Eosinophilic Annular Erythema,Eosinophilic Annular Erythema,Vascular & Urticarial
79,Inflammatory,rare,diagnosis,False,Angiolymphoid Hyperplasia With Eosinophilia,Angiolymphoid Hyperplasia With Eosinophilia,Vascular & Urticarial
82,Inflammatory,rare,diagnosis,False,Generalized Pustular Psoriasis,Generalized Pustular Psoriasis,Papulosquamous
83,Neoplastic,common,diagnosis,False,Melanoma,Melanoma,Malignant
84,Neoplastic,moderate,diagnosis,False,Metastatic Melanoma,Metastatic Melanoma,Malignant
81,Genetic Rare,rare,diagnosis,False,Nlrp12-Associated Autoinflammatory Disease,NLRP12-Associated Autoinflammatory Disease,Syndromic
85,Other,rare,diagnosis,False,Vanishing Bile Duct Syndrome,Vanishing Bile Duct Syndrome,Drug-Induced
86,Infectious,rare,diagnosis,False,Cystic Neutrophilic Granulomatous Mastitis,Cystic Neutrophilic Granulomatous Mastitis,Bacterial
87,Other,rare,diagnosis,True,Benign Foveal Depigmentation Of The Retinal Pigment Epithelium,Benign Foveal Depigmentation Of The Retinal Pigment Epithelium,Unclassified
88,Inflammatory,moderate,diagnosis,False,Pilonidal Sinus Disease,Pilonidal Sinus Disease,Neutrophilic
89,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
90,Inflammatory,rare,diagnosis,True,Gestational Pemphigoid,Pemphigoid Gestationis,Autoimmune
91,Inflammatory,rare,diagnosis,False,Paradoxical Eczema Induced By Il-23 Inhibitor,Paradoxical Eczema Induced By IL-23 Inhibitor,Eczematous
93,Infectious,moderate,diagnosis,False,Cutaneous Leishmaniasis,Cutaneous Leishmaniasis,Parasitic & Other
92,Neoplastic,moderate,diagnosis,False,Metastatic Melanoma Of Unknown Primary,Metastatic Melanoma of Unknown Primary,Malignant
97,Inflammatory,rare,diagnosis,False,Erythrodermic Psoriasis,Erythrodermic Psoriasis,Papulosquamous
96,Neoplastic,moderate,diagnosis,False,Acute Myeloid Leukemia Fab M2,Acute Myeloid Leukemia FAB M2,Malignant
95,Inflammatory,rare,diagnosis,False,Juvenile Dermatomyositis,Juvenile Dermatomyositis,Autoimmune
94,Neoplastic,rare,diagnosis,False,Metastatic Melanoma With Osteosarcomatous Differentiation,Metastatic Melanoma with Osteosarcomatous Differentiation,Malignant
98,Other,rare,diagnosis,False,Systemic Capillary Leak Syndrome,Systemic Capillary Leak Syndrome,Unclassified
99,Inflammatory,rare,diagnosis,False,Cocaine-Levamisole-Associated Vasculopathy,Cocaine-Levamisole-Associated Vasculopathy,Vascular & Urticarial
101,Inflammatory,common,mechanism,False,Drug-Induced Urticaria,Drug-Induced Urticaria,Vascular & Urticarial
100,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
103,Inflammatory,moderate,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
102,Neoplastic,moderate,diagnosis,True,Acral Lentiginous Malignant Melanoma,Acral Lentiginous Melanoma,Malignant
104,Genetic Rare,rare,diagnosis,True,Blue Rubber Bleb Nevus Syndrome,Blue Rubber Bleb Nevus Syndrome,Syndromic
105,Neoplastic,moderate,diagnosis,False,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Malignant
106,Neoplastic,rare,diagnosis,False,Uveal Melanoma,Uveal Melanoma,Malignant
107,Neoplastic,common,diagnosis,False,Infiltrating Lobular Carcinoma,Invasive Lobular Carcinoma,Malignant
108,Neoplastic,rare,diagnosis,False,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Malignant
109,Neoplastic,rare,diagnosis,True,Eccrine Porocarcinoma,Eccrine Porocarcinoma,Malignant
110,Infectious,rare,diagnosis,False,Leishmaniasis-Associated Immune Reconstitution Inflammatory Syndrome,Leishmaniasis-Associated Immune Reconstitution Inflammatory Syndrome,Parasitic & Other
111,Neoplastic,common,diagnosis,False,Seborrheic Keratosis,Seborrheic Keratosis,Benign
112,Infectious,rare,diagnosis,False,Petrous Apex Cholesteatoma With Secondary Actinomyces Infection,Petrous Apex Cholesteatoma With Secondary Actinomyces Infection,Bacterial
113,Infectious,common,diagnosis,True,Nodular Scabies,Nodular Scabies,Parasitic & Other
114,Other,rare,diagnosis,False,Lymphangioma Circumscriptum,Lymphatic Malformation,Unclassified
116,Genetic Rare,rare,diagnosis,False,Hermansky-Pudlak Syndrome,Hermansky-Pudlak Syndrome,Syndromic
115,Inflammatory,rare,diagnosis,True,Lupus Erythematosus-Specific Bullous Lesions,Lupus Erythematosus-Specific Bullous Lesions,Autoimmune
117,Inflammatory,rare,diagnosis,False,Gastrocutaneous Fistula,Gastrocutaneous Fistula,Neutrophilic
120,Infectious,common,diagnosis,True,Plantar Wart,Plantar Wart,Viral
119,Other,rare,diagnosis,False,Cutaneous Ciliated Cyst,Cutaneous Ciliated Cyst,Unclassified
121,Inflammatory,rare,diagnosis,True,Diffuse Cutaneous Mastocytosis,Diffuse Cutaneous Mastocytosis,Vascular & Urticarial
118,Infectious,moderate,diagnosis,False,Varicella-Zoster Virus Reactivation With Cutaneous Small Vessel Vasculitis,Varicella-Zoster Virus Reactivation With Cutaneous Small Vessel Vasculitis,Viral
123,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Associated Dermatitis,Immune Checkpoint Inhibitor-Associated Dermatitis,Eczematous
122,Inflammatory,moderate,diagnosis,True,Lichenoid Interface Dermatitis (Immune Checkpoint Inhibitor-Related Adverse Event),Lichenoid Interface Dermatitis,Papulosquamous
124,Inflammatory,moderate,diagnosis,True,Morphea,Morphea,Autoimmune
128,Genetic Rare,rare,diagnosis,False,Sjögren–Larsson Syndrome,Sjögren–Larsson Syndrome,Metabolic-Genetic
127,Neoplastic,moderate,diagnosis,False,Clear Cell Renal Cell Carcinoma,Clear Cell Renal Cell Carcinoma,Malignant
126,Infectious,common,diagnosis,False,Diabetic Foot Ulcer With Osteomyelitis,Diabetic Foot Ulcer With Osteomyelitis,Bacterial
125,Neoplastic,common,diagnosis,False,Lung Adenocarcinoma,Lung Adenocarcinoma,Malignant
131,Inflammatory,rare,diagnosis,False,Generalized Pustular Psoriasis,Generalized Pustular Psoriasis,Papulosquamous
129,Neoplastic,moderate,diagnosis,False,Invasive Lobular Carcinoma Of The Breast,Invasive Lobular Carcinoma,Malignant
130,Neoplastic,common,diagnosis,False,Invasive Lobular Carcinoma Of The Breast,Invasive Lobular Carcinoma,Malignant
132,Inflammatory,moderate,diagnosis,False,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
133,Inflammatory,moderate,diagnosis,False,Sweet Syndrome,Sweet's Syndrome,Neutrophilic
134,Inflammatory,moderate,diagnosis,True,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
135,Inflammatory,rare,diagnosis,False,Pustulotic Arthro-Osteitis,Pustulotic Arthro-Osteitis,Neutrophilic
136,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
137,Inflammatory,rare,diagnosis,False,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
140,Metabolic Systemic,rare,diagnosis,False,Al Amyloidosis,AL Amyloidosis,Systemic Disease Manifestations
139,Inflammatory,rare,diagnosis,False,Cryoglobulinemia-Associated Glomerulonephritis,Cryoglobulinemic Membranoproliferative Glomerulonephritis,Vascular & Urticarial
141,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
142,Inflammatory,moderate,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
143,Neoplastic,rare,diagnosis,False,Metastatic Breast Carcinoma,Metastatic Breast Carcinoma,Malignant
138,Other,moderate,diagnosis,False,Drug-Induced Liver Injury,Drug-Induced Liver Injury,Drug-Induced
144,Neoplastic,moderate,diagnosis,False,Metastatic Invasive Lobular Breast Carcinoma,Metastatic Invasive Lobular Carcinoma of the Breast,Malignant
145,Neoplastic,rare,diagnosis,False,Papular Mycosis Fungoides,Papular Mycosis Fungoides,Malignant
146,Neoplastic,rare,diagnosis,False,Primary Malignant Melanoma Of The Uterine Cervix,Primary Cervical Melanoma,Malignant
147,Inflammatory,moderate,diagnosis,False,Kawasaki Disease,Kawasaki Disease,Vascular & Urticarial
149,Neoplastic,rare,diagnosis,False,Atypical Fibroxanthoma With Osseous Metaplasia,Atypical Fibroxanthoma,Malignant
148,Pigmentation,moderate,diagnosis,True,Longitudinal Melanonychia,Longitudinal Melanonychia,Hyperpigmentation
150,Neoplastic,rare,diagnosis,False,Pleomorphic Dermal Sarcoma,Pleomorphic Dermal Sarcoma,Malignant
151,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
152,Inflammatory,rare,diagnosis,False,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
154,Neoplastic,moderate,diagnosis,False,Myelodysplastic Neoplasm With Mutated Sf3B1,Myelodysplastic Neoplasm With Mutated SF3B1,Malignant
153,Neoplastic,rare,diagnosis,True,Encapsulated Papillary Carcinoma,Encapsulated Papillary Carcinoma,Malignant
155,Inflammatory,moderate,diagnosis,True,Dermatomyositis,Dermatomyositis,Autoimmune
156,Neoplastic,moderate,diagnosis,False,Mycosis Fungoides,Mycosis Fungoides,Malignant
157,Neoplastic,rare,diagnosis,False,Epithelioid Hemangioendothelioma,Epithelioid Hemangioendothelioma,Vascular Tumours
158,Metabolic Systemic,moderate,diagnosis,False,Chemotherapy-Induced Cardiomyopathy,Chemotherapy-Induced Cardiomyopathy,Systemic Disease Manifestations
160,Neoplastic,moderate,diagnosis,False,Metastatic Triple-Negative Breast Cancer,Metastatic Triple-Negative Breast Cancer,Malignant
161,Inflammatory,moderate,diagnosis,False,Pemphigus Foliaceus,Pemphigus Foliaceus,Autoimmune
163,Other,rare,diagnosis,False,Harlequin Syndrome,Harlequin Syndrome,Unclassified
162,Infectious,rare,diagnosis,False,Actinomycotic Mycetoma,Actinomycetoma,Bacterial
159,Neoplastic,rare,diagnosis,False,Sarcomatoid Squamous Cell Carcinoma,Sarcomatoid Squamous Cell Carcinoma,Malignant
164,Inflammatory,rare,diagnosis,False,Localized Hyperinflammatory Bullous Reaction To Mosquito Bites In Systemic Autoimmune Disease,Localized Hyperinflammatory Bullous Reaction To Mosquito Bites In Systemic Autoimmune Disease,Autoimmune
166,Genetic Rare,rare,diagnosis,True,Porokeratosis Ptychotropica,Porokeratosis Ptychotropica,Genodermatoses
167,Neoplastic,moderate,diagnosis,False,Solitary Neurofibroma,Solitary Neurofibroma,Benign
165,Pigmentation,rare,diagnosis,False,Esophageal Melanosis,Esophageal Melanosis,Hyperpigmentation
169,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Hepatitis,Immune Checkpoint Inhibitor-Induced Hepatitis,Autoimmune
168,Neoplastic,moderate,diagnosis,False,Metastatic Melanoma,Metastatic Melanoma,Malignant
171,Other,rare,diagnosis,False,Cronkhite–Canada Syndrome,Cronkhite–Canada Syndrome,Unclassified
170,Inflammatory,rare,mechanism,False,Anca-Associated Vasculitis,ANCA-Associated Vasculitis,Vascular & Urticarial
172,Inflammatory,moderate,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
174,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Induced Myositis,Immune Checkpoint Inhibitor-Induced Myositis,Autoimmune
177,Inflammatory,rare,diagnosis,True,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
173,Neoplastic,rare,diagnosis,False,Intravascular Large B-Cell Lymphoma,Intravascular Large B-Cell Lymphoma,Malignant
178,Inflammatory,rare,diagnosis,False,Kawasaki Disease Shock Syndrome,Kawasaki Disease Shock Syndrome,Vascular & Urticarial
175,Inflammatory,rare,diagnosis,False,Juvenile Systemic Sclerosis,Juvenile Systemic Sclerosis,Autoimmune
179,Inflammatory,rare,diagnosis,True,Grisel'S Syndrome,Grisel's Syndrome,Unclassified
176,Inflammatory,moderate,diagnosis,False,Kawasaki Disease,Kawasaki Disease,Vascular & Urticarial
181,Metabolic Systemic,moderate,diagnosis,True,Lichen Amyloidosis,Lichen Amyloidosis,Systemic Disease Manifestations
180,Genetic Rare,rare,diagnosis,True,Disseminated Superficial Porokeratosis With Secondary Localized Cutaneous Amyloidosis,Disseminated Superficial Porokeratosis With Secondary Localized Cutaneous Amyloidosis,Genodermatoses
182,Neoplastic,rare,diagnosis,False,Pulmonary Tumor Thrombotic Microangiopathy,Pulmonary Tumor Thrombotic Microangiopathy,Malignant
184,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
183,Metabolic Systemic,rare,diagnosis,False,Type Ii Cryoglobulinemia,Type II Cryoglobulinemia,Systemic Disease Manifestations
185,Inflammatory,rare,diagnosis,True,Lupus Miliaris Disseminatus Faciei,Lupus Miliaris Disseminatus Faciei,Autoimmune
186,Neoplastic,rare,diagnosis,False,Dermatofibrosarcoma Protuberans,Dermatofibrosarcoma Protuberans,Malignant
187,Neoplastic,rare,diagnosis,False,Dermatofibrosarcoma Protuberans With Fibrosarcomatous Transformation,Dermatofibrosarcoma Protuberans With Fibrosarcomatous Transformation,Malignant
188,Neoplastic,moderate,diagnosis,False,Triple-Negative Breast Carcinoma,Triple-Negative Breast Cancer,Malignant
189,Inflammatory,moderate,diagnosis,False,Leukocytoclastic Vasculitis,Leukocytoclastic Vasculitis,Vascular & Urticarial
190,Neoplastic,moderate,diagnosis,False,Metastatic Invasive Lobular Carcinoma Of The Breast,Metastatic Invasive Lobular Carcinoma of the Breast,Malignant
191,Inflammatory,rare,diagnosis,False,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
192,Inflammatory,moderate,diagnosis,True,Psoriasiform Dermatitis (Immune-Related Adverse Event),Psoriasiform Cutaneous Immune-Related Adverse Event,Papulosquamous
193,Metabolic Systemic,rare,diagnosis,False,Verruciform Xanthoma,Verruciform Xanthoma,Nutritional
194,Genetic Rare,rare,diagnosis,False,Rela-Associated Inflammatory Disease,RELA-Associated Inflammatory Disease,Syndromic
195,Genetic Rare,rare,diagnosis,False,Rela-Associated Inflammatory Disease,RELA-Associated Inflammatory Disease,Syndromic
196,Neoplastic,rare,diagnosis,True,Pigmented Epithelioid Melanocytoma,Pigmented Epithelioid Melanocytoma,Benign
197,Inflammatory,common,diagnosis,False,Atopic Dermatitis,Atopic Dermatitis,Eczematous
198,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
199,Neoplastic,rare,diagnosis,True,Spitzoid Melanoma,Spitzoid Melanoma,Malignant
200,Neoplastic,moderate,diagnosis,False,Pilomatricoma,Pilomatricoma,Benign
201,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
202,Inflammatory,moderate,diagnosis,False,Drug-Induced Interstitial Pneumonitis,Drug-Induced Interstitial Pneumonitis,Autoimmune
203,Inflammatory,rare,diagnosis,True,Alopecia Universalis,Alopecia Universalis,Autoimmune
204,Inflammatory,rare,diagnosis,True,Pityriasis Rubra Pilaris,Pityriasis Rubra Pilaris,Papulosquamous
205,Inflammatory,rare,diagnosis,False,Cryptococcoid Sweet Syndrome,Cryptococcoid Sweet Syndrome,Neutrophilic
206,Inflammatory,rare,diagnosis,False,Anti-Mda5 Antibody-Associated Dermatomyositis,Anti-MDA5 Antibody-Associated Dermatomyositis,Autoimmune
208,Genetic Rare,rare,diagnosis,False,Familial Partial Lipodystrophy,Familial Partial Lipodystrophy,Metabolic-Genetic
207,Genetic Rare,rare,diagnosis,False,Near-Generalized Lipodystrophy Due To Biallelic Lmna Variants,Near-Generalized Lipodystrophy Due to Biallelic LMNA Variants,Metabolic-Genetic
209,Inflammatory,rare,diagnosis,False,Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis,Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis,Autoimmune
210,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
212,Metabolic Systemic,common,mechanism,False,Acute Kidney Injury,Acute Kidney Injury,Systemic Disease Manifestations
211,Metabolic Systemic,moderate,mechanism,False,Fenofibrate-Induced Reversible Reduction In Glomerular Filtration Rate,Fenofibrate-Induced Reversible Reduction In Glomerular Filtration Rate,Systemic Disease Manifestations
213,Inflammatory,rare,diagnosis,False,Polyarteritis Nodosa,Polyarteritis Nodosa,Vascular & Urticarial
215,Neoplastic,rare,diagnosis,False,Primary Cutaneous Aggressive Epidermotropic Cd8+ Cytotoxic T-Cell Lymphoma,Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Malignant
214,Inflammatory,moderate,diagnosis,False,Systemic Sclerosis,Systemic Sclerosis,Autoimmune
216,Neoplastic,common,diagnosis,True,Superficial Spreading Malignant Melanoma,Superficial Spreading Melanoma,Malignant
217,Inflammatory,moderate,diagnosis,False,Exfoliative Dermatitis,Exfoliative Dermatitis,Eczematous
218,Inflammatory,moderate,diagnosis,False,Acne Excoriée,Acne Excoriée,Eczematous
220,Inflammatory,rare,diagnosis,False,Voriconazole-Induced Hypersensitivity Interstitial Pulmonary Edema,Voriconazole-Induced Hypersensitivity Interstitial Pulmonary Edema,Vascular & Urticarial
219,Neoplastic,rare,diagnosis,False,Mucoepidermoid Carcinoma,Mucoepidermoid Carcinoma,Malignant
221,Inflammatory,moderate,diagnosis,False,Primary Sjögren'S Syndrome,Primary Sjögren's Syndrome,Autoimmune
222,Inflammatory,moderate,diagnosis,False,Subacute Cutaneous Lupus Erythematosus,Subacute Cutaneous Lupus Erythematosus,Autoimmune
