pid,role,derm_years,gp_years,years_experience,group,case_index,question_id,n_sources,correct_choice,correct_answer_text,llm_answer,llm_answer_text,llm_is_correct,initial_answer,final_answer,initial_correct,final_correct,answered,changed_answer,initial_eq_llm,final_eq_llm,switched_to_llm,switched_from_llm,n_support,n_support_rated,all_sources_support,any_source_supports,question_type,disease_category,disease_prevalence,original_disease,canonical_disease,disease_subcategory,question_structure
p03,Dermatologist,4-9 years,,4-9 years,1,9,3376,2,C,X-linked ichthyosis nigra,C,X-linked ichthyosis nigra,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Genetic Rare,rare,X-Linked Ichthyosis,X-Linked Ichthyosis,Genodermatoses,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,10,2518,3,D,Incontinentia pigmenti,D,Incontinentia pigmenti,True,D,D,True,True,True,False,True,True,False,False,3,3,True,True,diagnosis,Genetic Rare,rare,Incontinentia Pigmenti,Incontinentia Pigmenti,Syndromic,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,11,3245,2,C,Verrucous epidermal nevus,C,Verrucous epidermal nevus,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Neoplastic,moderate,Verrucous Epidermal Nevus,Verrucous Epidermal Nevus,Benign,short_stem
p03,Dermatologist,4-9 years,,4-9 years,1,12,2068,1,A,VDRL for mother & baby,A,VDRL for mother & baby,True,A,A,True,True,True,False,True,True,False,False,1,1,True,True,diagnosis,Infectious,moderate,Congenital Syphilis,Congenital Syphilis,Bacterial,short_stem
p03,Dermatologist,4-9 years,,4-9 years,1,13,463,2,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,mechanism,Inflammatory,moderate,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,14,260,1,D,Coagulative necrosis surrounded by fibroblast and macrophage infiltrate,C,Ulcerated epidermis with plasma cell infiltrate,False,D,C,True,False,True,True,False,True,True,False,1,1,True,True,diagnosis,Infectious,moderate,Syphilis (Tertiary/Gummatous),Syphilis,Bacterial,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,15,586,4,D,Stimulation of the sebaceous glands by androgens,D,Stimulation of the sebaceous glands by androgens,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,16,302,2,C,Erythromycin,C,Erythromycin,True,C,C,True,True,True,False,True,True,False,False,1,2,False,True,treatment,Infectious,rare,Bacillary Angiomatosis,Bacillary Angiomatosis,Bacterial,vignette
p01,Dermatologist,10+ years,,10+ years,1,1,1254,3,C,High TSH,C,High TSH,True,C,C,True,True,True,False,True,True,False,False,1,3,False,True,diagnosis,Metabolic Systemic,common,Hypothyroidism,Hypothyroidism,Endocrine-Associated,vignette
p01,Dermatologist,10+ years,,10+ years,1,2,4915,1,B,located on buttock,B,located on buttock,True,C,D,False,False,True,True,False,False,False,False,1,1,True,True,diagnosis,Neoplastic,moderate,Dysplastic Nevus,Dysplastic Nevus,Premalignant,short_stem
p01,Dermatologist,10+ years,,10+ years,1,3,554,3,A,Transpeptidase,A,Transpeptidase,True,A,A,True,True,True,False,True,True,False,False,1,3,False,True,treatment,Infectious,moderate,Syphilis,Syphilis,Bacterial,vignette
p01,Dermatologist,10+ years,,10+ years,1,4,83,4,A,Gastric adenocarcinoma,A,Gastric adenocarcinoma,True,A,C,True,False,True,True,True,False,False,True,3,4,False,True,diagnosis,Pigmentation,moderate,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,vignette
p01,Dermatologist,10+ years,,10+ years,1,5,59,2,B,Acute promyelocytic leukemia,B,Acute promyelocytic leukemia,True,B,B,True,True,True,False,True,True,False,False,1,2,False,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p01,Dermatologist,10+ years,,10+ years,1,6,9946,1,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,True,D,D,False,False,True,False,False,False,False,False,0,1,False,False,treatment,Infectious,moderate,Leprosy,Leprosy,Bacterial,short_stem
p01,Dermatologist,10+ years,,10+ years,1,7,8111,2,C,Patch test,A,Skin biopsy,False,C,C,True,True,True,False,False,False,False,False,2,2,True,True,diagnosis,Inflammatory,moderate,Chronic Actinic Dermatitis,Chronic Actinic Dermatitis,Eczematous,vignette
p01,Dermatologist,10+ years,,10+ years,1,8,6933,1,B,The patient is taking phenytoin,B,The patient is taking phenytoin,True,D,D,False,False,True,False,False,False,False,False,1,1,True,True,epidemiology,Inflammatory,moderate,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,short_stem
p01,Dermatologist,10+ years,,10+ years,1,9,3376,2,C,X-linked ichthyosis nigra,C,X-linked ichthyosis nigra,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Genetic Rare,rare,X-Linked Ichthyosis,X-Linked Ichthyosis,Genodermatoses,vignette
p01,Dermatologist,10+ years,,10+ years,1,10,2518,3,D,Incontinentia pigmenti,D,Incontinentia pigmenti,True,D,D,True,True,True,False,True,True,False,False,3,3,True,True,diagnosis,Genetic Rare,rare,Incontinentia Pigmenti,Incontinentia Pigmenti,Syndromic,vignette
p01,Dermatologist,10+ years,,10+ years,1,11,3245,2,C,Verrucous epidermal nevus,C,Verrucous epidermal nevus,True,D,C,False,True,True,True,False,True,True,False,1,2,False,True,diagnosis,Neoplastic,moderate,Verrucous Epidermal Nevus,Verrucous Epidermal Nevus,Benign,short_stem
p01,Dermatologist,10+ years,,10+ years,1,12,2068,1,A,VDRL for mother & baby,A,VDRL for mother & baby,True,A,A,True,True,True,False,True,True,False,False,1,1,True,True,diagnosis,Infectious,moderate,Congenital Syphilis,Congenital Syphilis,Bacterial,short_stem
p01,Dermatologist,10+ years,,10+ years,1,13,463,2,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,True,C,C,True,True,True,False,True,True,False,False,1,2,False,True,mechanism,Inflammatory,moderate,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,vignette
p01,Dermatologist,10+ years,,10+ years,1,14,260,1,D,Coagulative necrosis surrounded by fibroblast and macrophage infiltrate,C,Ulcerated epidermis with plasma cell infiltrate,False,C,C,False,False,True,False,True,True,False,False,0,1,False,False,diagnosis,Infectious,moderate,Syphilis (Tertiary/Gummatous),Syphilis,Bacterial,vignette
p01,Dermatologist,10+ years,,10+ years,1,15,586,4,D,Stimulation of the sebaceous glands by androgens,D,Stimulation of the sebaceous glands by androgens,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p01,Dermatologist,10+ years,,10+ years,1,16,302,2,C,Erythromycin,C,Erythromycin,True,C,C,True,True,True,False,True,True,False,False,1,2,False,True,treatment,Infectious,rare,Bacillary Angiomatosis,Bacillary Angiomatosis,Bacterial,vignette
p05,Dermatologist,10+ years,,10+ years,2,1,4129,3,B,Lamellar ichthyosis,B,Lamellar ichthyosis,True,B,B,True,True,True,False,True,True,False,False,2,3,False,True,diagnosis,Genetic Rare,rare,Lamellar Ichthyosis,Lamellar Ichthyosis,Genodermatoses,short_stem
p05,Dermatologist,10+ years,,10+ years,2,2,1275,5,A,Nucleotide excision repair,A,Nucleotide excision repair,True,A,A,True,True,True,False,True,True,False,False,3,5,False,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p05,Dermatologist,10+ years,,10+ years,2,3,506,3,C,Elevated anti-TPO antibody levels,C,Elevated anti-TPO antibody levels,True,C,C,True,True,True,False,True,True,False,False,3,3,True,True,epidemiology,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p05,Dermatologist,10+ years,,10+ years,2,4,1144,3,C,Measure serum beta-hCG levels,C,Measure serum beta-hCG levels,True,E,D,False,False,True,True,False,False,False,False,2,3,False,True,treatment,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p05,Dermatologist,10+ years,,10+ years,2,5,122,3,D,ssRNA enveloped viruses,D,ssRNA enveloped viruses,True,D,D,True,True,True,False,True,True,False,False,1,3,False,True,mechanism,Infectious,moderate,Measles,Measles,Viral,vignette
p05,Dermatologist,10+ years,,10+ years,2,6,430,4,D,"""Spaghetti and meatballs"" fungus",D,"""Spaghetti and meatballs"" fungus",True,D,D,True,True,True,False,True,True,False,False,1,4,False,True,diagnosis,Infectious,common,Tinea Versicolor,Tinea Versicolor,Fungal,vignette
p05,Dermatologist,10+ years,,10+ years,2,7,204,4,D,Staphylococcus aureus,D,Staphylococcus aureus,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,diagnosis,Infectious,moderate,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,vignette
p05,Dermatologist,10+ years,,10+ years,2,8,2110,2,A,Treponema pallidum,A,Treponema pallidum,True,A,A,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Infectious,common,Secondary Syphilis,Secondary Syphilis,Bacterial,short_stem
p05,Dermatologist,10+ years,,10+ years,2,9,8524,3,C,Endonuclease,C,Endonuclease,True,C,C,True,True,True,False,True,True,False,False,3,3,True,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p05,Dermatologist,10+ years,,10+ years,2,10,6968,1,D,Topical permethrin,D,Topical permethrin,True,D,D,True,True,True,False,True,True,False,False,1,1,True,True,treatment,Infectious,common,Scabies,Scabies,Parasitic & Other,short_stem
p05,Dermatologist,10+ years,,10+ years,2,11,239,2,C,Lipid panel,C,Lipid panel,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Metabolic Systemic,moderate,Xanthoma,Xanthoma,Endocrine-Associated,vignette
p05,Dermatologist,10+ years,,10+ years,2,12,499,2,C,Biopsy of the lesion,C,Biopsy of the lesion,True,B,C,False,True,True,True,False,True,True,False,2,2,True,True,diagnosis,Inflammatory,moderate,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,vignette
p05,Dermatologist,10+ years,,10+ years,2,13,685,1,F,Oral rifampicin and dapsone,F,Oral rifampicin and dapsone,True,A,F,False,True,True,True,False,True,True,False,1,1,True,True,treatment,Infectious,rare,Leprosy,Leprosy,Bacterial,vignette
p05,Dermatologist,10+ years,,10+ years,2,14,3776,1,A,22q,D,9q,False,B,B,False,False,True,False,False,False,False,False,1,1,True,True,epidemiology,Genetic Rare,rare,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex,Syndromic,vignette
p05,Dermatologist,10+ years,,10+ years,2,15,1316,2,C,Vitiligo,C,Vitiligo,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p05,Dermatologist,10+ years,,10+ years,2,16,9028,3,D,None,C,Lichen planus,False,C,C,False,False,True,False,True,True,False,False,2,3,False,True,diagnosis,Inflammatory,rare,Lichen Striatus,Lichen Striatus,Papulosquamous,short_stem
p04,Dermatologist,10+ years,,10+ years,2,1,4129,3,B,Lamellar ichthyosis,B,Lamellar ichthyosis,True,C,B,False,True,True,True,False,True,True,False,2,3,False,True,diagnosis,Genetic Rare,rare,Lamellar Ichthyosis,Lamellar Ichthyosis,Genodermatoses,short_stem
p04,Dermatologist,10+ years,,10+ years,2,2,1275,5,A,Nucleotide excision repair,A,Nucleotide excision repair,True,A,A,True,True,True,False,True,True,False,False,4,5,False,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p04,Dermatologist,10+ years,,10+ years,2,3,506,3,C,Elevated anti-TPO antibody levels,C,Elevated anti-TPO antibody levels,True,C,C,True,True,True,False,True,True,False,False,2,3,False,True,epidemiology,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p04,Dermatologist,10+ years,,10+ years,2,4,1144,3,C,Measure serum beta-hCG levels,C,Measure serum beta-hCG levels,True,C,C,True,True,True,False,True,True,False,False,2,3,False,True,treatment,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p04,Dermatologist,10+ years,,10+ years,2,5,122,3,D,ssRNA enveloped viruses,D,ssRNA enveloped viruses,True,B,D,False,True,True,True,False,True,True,False,2,3,False,True,mechanism,Infectious,moderate,Measles,Measles,Viral,vignette
p04,Dermatologist,10+ years,,10+ years,2,6,430,4,D,"""Spaghetti and meatballs"" fungus",D,"""Spaghetti and meatballs"" fungus",True,D,D,True,True,True,False,True,True,False,False,3,4,False,True,diagnosis,Infectious,common,Tinea Versicolor,Tinea Versicolor,Fungal,vignette
p04,Dermatologist,10+ years,,10+ years,2,7,204,4,D,Staphylococcus aureus,D,Staphylococcus aureus,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,diagnosis,Infectious,moderate,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,vignette
p04,Dermatologist,10+ years,,10+ years,2,8,2110,2,A,Treponema pallidum,A,Treponema pallidum,True,A,A,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Infectious,common,Secondary Syphilis,Secondary Syphilis,Bacterial,short_stem
p04,Dermatologist,10+ years,,10+ years,2,9,8524,3,C,Endonuclease,C,Endonuclease,True,C,C,True,True,True,False,True,True,False,False,3,3,True,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p04,Dermatologist,10+ years,,10+ years,2,10,6968,1,D,Topical permethrin,D,Topical permethrin,True,A,A,False,False,True,False,False,False,False,False,0,1,False,False,treatment,Infectious,common,Scabies,Scabies,Parasitic & Other,short_stem
p04,Dermatologist,10+ years,,10+ years,2,11,239,2,C,Lipid panel,C,Lipid panel,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Metabolic Systemic,moderate,Xanthoma,Xanthoma,Endocrine-Associated,vignette
p04,Dermatologist,10+ years,,10+ years,2,12,499,2,C,Biopsy of the lesion,C,Biopsy of the lesion,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Inflammatory,moderate,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,vignette
p04,Dermatologist,10+ years,,10+ years,2,13,685,1,F,Oral rifampicin and dapsone,F,Oral rifampicin and dapsone,True,F,F,True,True,True,False,True,True,False,False,1,1,True,True,treatment,Infectious,rare,Leprosy,Leprosy,Bacterial,vignette
p04,Dermatologist,10+ years,,10+ years,2,14,3776,1,A,22q,D,9q,False,D,D,False,False,True,False,True,True,False,False,1,1,True,True,epidemiology,Genetic Rare,rare,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex,Syndromic,vignette
p04,Dermatologist,10+ years,,10+ years,2,15,1316,2,C,Vitiligo,C,Vitiligo,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p04,Dermatologist,10+ years,,10+ years,2,16,9028,3,D,None,C,Lichen planus,False,C,C,False,False,True,False,True,True,False,False,2,3,False,True,diagnosis,Inflammatory,rare,Lichen Striatus,Lichen Striatus,Papulosquamous,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,1,4129,3,B,Lamellar ichthyosis,B,Lamellar ichthyosis,True,B,B,True,True,True,False,True,True,False,False,3,3,True,True,diagnosis,Genetic Rare,rare,Lamellar Ichthyosis,Lamellar Ichthyosis,Genodermatoses,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,2,1275,5,A,Nucleotide excision repair,A,Nucleotide excision repair,True,A,A,True,True,True,False,True,True,False,False,4,5,False,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,3,506,3,C,Elevated anti-TPO antibody levels,C,Elevated anti-TPO antibody levels,True,C,C,True,True,True,False,True,True,False,False,3,3,True,True,epidemiology,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,4,1144,3,C,Measure serum beta-hCG levels,C,Measure serum beta-hCG levels,True,E,C,False,True,True,True,False,True,True,False,3,3,True,True,treatment,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,5,122,3,D,ssRNA enveloped viruses,D,ssRNA enveloped viruses,True,A,D,False,True,True,True,False,True,True,False,2,3,False,True,mechanism,Infectious,moderate,Measles,Measles,Viral,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,6,430,4,D,"""Spaghetti and meatballs"" fungus",D,"""Spaghetti and meatballs"" fungus",True,D,D,True,True,True,False,True,True,False,False,3,4,False,True,diagnosis,Infectious,common,Tinea Versicolor,Tinea Versicolor,Fungal,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,7,204,4,D,Staphylococcus aureus,D,Staphylococcus aureus,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,diagnosis,Infectious,moderate,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,8,2110,2,A,Treponema pallidum,A,Treponema pallidum,True,A,A,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Infectious,common,Secondary Syphilis,Secondary Syphilis,Bacterial,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,9,8524,3,C,Endonuclease,C,Endonuclease,True,B,C,False,True,True,True,False,True,True,False,1,3,False,True,mechanism,Genetic Rare,rare,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,10,6968,1,D,Topical permethrin,D,Topical permethrin,True,B,B,False,False,True,False,False,False,False,False,1,1,True,True,treatment,Infectious,common,Scabies,Scabies,Parasitic & Other,short_stem
p06,Dermatologist,4-9 years,,4-9 years,2,11,239,2,C,Lipid panel,C,Lipid panel,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Metabolic Systemic,moderate,Xanthoma,Xanthoma,Endocrine-Associated,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,12,499,2,C,Biopsy of the lesion,C,Biopsy of the lesion,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Inflammatory,moderate,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,13,685,1,F,Oral rifampicin and dapsone,F,Oral rifampicin and dapsone,True,F,F,True,True,True,False,True,True,False,False,1,1,True,True,treatment,Infectious,rare,Leprosy,Leprosy,Bacterial,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,14,3776,1,A,22q,D,9q,False,B,D,False,False,True,True,False,True,True,False,1,1,True,True,epidemiology,Genetic Rare,rare,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex,Syndromic,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,15,1316,2,C,Vitiligo,C,Vitiligo,True,B,C,False,True,True,True,False,True,True,False,0,2,False,False,diagnosis,Pigmentation,moderate,Vitiligo,Vitiligo,Hypopigmentation,vignette
p06,Dermatologist,4-9 years,,4-9 years,2,16,9028,3,D,None,C,Lichen planus,False,D,C,True,False,True,True,False,True,True,False,2,3,False,True,diagnosis,Inflammatory,rare,Lichen Striatus,Lichen Striatus,Papulosquamous,short_stem
p09,Dermatologist,1-3 years,,1-3 years,3,1,9554,2,B,Cushing's syndrome,B,Cushing's syndrome,True,B,B,True,True,True,False,True,True,False,False,1,2,False,True,diagnosis,Metabolic Systemic,rare,Cushing'S Syndrome,Cushing's Syndrome,Endocrine-Associated,short_stem
p09,Dermatologist,1-3 years,,1-3 years,3,2,831,2,B,Pemphigus vulgaris,B,Pemphigus vulgaris,True,B,B,True,True,True,False,True,True,False,False,1,2,False,True,diagnosis,Inflammatory,moderate,Pemphigus Vulgaris,Pemphigus Vulgaris,Autoimmune,vignette
